titulo,autor,ano,paginas,editora,rating,avaliacao,resenha,abandonos,relendo,lendo,querem_ler,leram,genero,male,female
"International Guy: Milão, San Francisco, Montreal",Audrey Carlan,2018,416,Verus,4.0,115,10,1,1,7,450,139,Ficção / Literatura Estrangeira / Romance ,2,98
Além da Meia-Noite,Lara Adrian,2017,384,Universo,4.2,93,2,1,1,13,851,113,Fantasia / Ficção / Literatura Estrangeira / Romance ,6,94
O Caminho da Tranqüilidade,XIV Dalai Lama (Tenzin Gyatso),2008,96,Sextante,3.8,118,2,2,1,6,183,230,""" ",30,70
O Dia em que Nate Entrou Para a História,Lincoln Peirce,2011,224,Sextante,4.0,380,17,1,1,25,158,691,"Humor, Comédia / Infantil ",45,55
Saga três luas: livro 1 - Lua Azul,Fred Oliveira,2017,1811,Editora,3.9,180,11,4,5,48,471,257,Ficção / Infantojuvenil / Literatura Brasileira ,35,65
Passarinha,Kathryn Erskine,2013,224,Valentina,4.6,5,886,48,5,231,8,6, Drama / Literatura Estrangeira ,9,91
Desenvolva a sua Inteligencia Emocional,Travis Bradberry,2007,144,Sextante,3.3,53,0,3,0,9,105,91,Psicologia ,35,65
Senhorita Aurora,Babi A. Sette,2018,342,Verus,4.3,4,456,92,5,83,3,5,Ficção / Literatura Brasileira / Romance ,1,99
Memento mori,Muriel Spark,2004,254,Planeta,3.4,65,2,3,0,1,74,97, Quem traiu? Quem foi traído? Quem fez o que não devia? Quem teve inveja?Ficção ,38,62
O Silmarillion,J. R. R. Tolkien ,2019,496,Harper,4.4,16,507,2,227,2,27,27,Fantasia ,56,44
Circo invisível ,Jennifer Egan,2015,320,Intrínseca,3.3,271,11,24,0,36,622,373, Literatura Estrangeira / Romance ,21,79
A Moderna Ciência do Yoga,William J. Broad,2013,280,Valentina,3.9,18,0,1,0,6,100,34,Bem estar e lazer / Esportes / Literatura Estrangeira ,22,78
A Vida de Pi,Yann Martel,2004,356,Rocco,4.2,550,31,30,2,40,909,789,Romance ,37,63
Kama Sutra,Vatsyayana ,2012,200,Martin,3.4,455,17,36,4,47,410,985,Literatura Estrangeira / Não-ficção / Sexo e Sexologia ,46,54
Querido John,Nicholas Sparks,2017,256,Arqueiro,4.0,51,1,2,146,1,76,195,Ficção / Literatura Brasileira / Romance / Drama / Literatura Estrangeira ,8,92
"Dez, nota dez!",Denilson Monteiro,2015,408,Planeta,4.4,38,4,1,0,6,58,56,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Não-ficção ",68,32
Amos e Masmorras - A Missão,Lena Valenti,2017,272,Universo,4.3,294,16,3,0,16,939,448,Erótico / Literatura Estrangeira / Romance / Romance policial ,6,94
"Gregor, O Guerreiro da Superfície",Suzanne Collins,2008,304,Galera,4.2,1,57,42,1,49,2,1,Literatura Estrangeira / Infantojuvenil ,30,70
Se não fosse você,Colleen Hoover,2020,400,Galera,4.2,343,67,0,2,29,1,217,Chick-lit / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3,97
Ache Momo de costa a costa,Andrew Knapp,2015,144,Intrínseca,4.5,99,4,0,0,2,106,121,Animais de Estimação / Entretenimento ,15,85
Estação Onze,Emily St. John Mandel,2015,320,Intrínseca,3.8,845,86,87,2,75,1,1,Literatura Estrangeira / Romance ,22,78
Queria ver você feliz,Adriana Falcão ,2014,160,Intrínseca,4.0,875,54,10,2,40,674,1,Literatura Estrangeira / Romance ,16,84
A Queda de Dilma,Ricardo Westin,2017,192,Universo,3.5,15,2,0,1,4,371,27,Literatura Brasileira / Política ,39,61
O despertar de uma nova consciência,Eckhart Tolle,2007,267,Sextante,4.4,641,50,33,17,255,1,1, Psicologia ,30,70
O Leão Ferido,Mia Sheridan,2016,240,Arqueiro,4.1,752,44,12,0,14,1,1,Literatura Estrangeira / Romance ,1,99
Diário de uma Garota Nada Popular - Vol. 8,Rachel Renée Russell,2015,304,Verus,3.9,609,7,9,6,25,534,1,Jovem adulto / Literatura Estrangeira ,1,99
"Sorria, você está sendo iluminado!",Felipe Guga,2015,96,Galera,4.2,166,19,0,1,5,352,225,"Religião e Espiritualidade / Design / Poemas, poesias ",15,85
Renegados,T.M. Frazier,2019,208,The,3.7,91,6,0,0,3,80,100,Erótico / Literatura Estrangeira / Romance ,1,99
Cinquenta tons mais escuros,E.L. James,2012,512,Intrínseca,4.2,17,0,1,0,1,7,25,Romance ,5,95
Box Jane Austen,Jane Austen,2019,1112,Martin,4.5,16,0,0,1,8,141,10,Infantojuvenil / Literatura Estrangeira / Romance ,3,97
Malícias e Delícias,Tara Sivec,2015,304,Editora,3.9,819,102,44,1,37,672,1," Alguém que Carter desconhece e que, das duas uma: ou o obrigará a comprar uma passagem só de ida para o Polo Norte ou o fará o homem mais feliz do mundo!!!Idade Mínima Recomendada: 16 AnosRomance / Erótico / Humor, Comédia ",3,97
Mapa dos Dias,Ransom Riggs,2018,448,Intrínseca,4.2,1,191,39,6,213,4,2,Aventura / Fantasia / Ficção / Horror / Jovem adulto / Literatura Estrangeira ,20,80
Ruína,Amy Tintera,2017,308,Galera,4.1,193,18,1,0,10,420,231,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,6,94
A Menina Que Roubava Livros,Markus Zusak,2007,480,Intrínseca,4.5,114,3,17,877,10,201,335,Literatura Estrangeira / Romance / Drama / Ficção ,16,84
Sal,Letícia Wierzchowski,2013,240,Intrínseca,3.9,1,101,58,2,61,1,1,Literatura Brasileira ,18,82
A História de Nós Dois,Dani Atkins,2016,352,Arqueiro,4.1,2,248,51,2,99,4,3, Como essa história vai terminar?Ficção / Literatura Estrangeira / Romance ,3,97
Herói,Rhonda Byrne,2019,240,Sextante,4.3,25,4,0,0,7,116,21,EDIÇÃO EM CAPA DURAAutoajuda / Literatura Estrangeira ,23,77
Desejos dos Mortos,Kimberly Derting,2012,288,Intrínseca,4.0,1,73,27,0,42,2,2,Fantasia / Literatura Estrangeira / Romance ,10,90
O Clube de Leitura de Jane Austen, Karen Joy Fowler ,2017,320,Rocco,3.1,469,46,51,0,80,4,626, O livro é uma excelente porta de entrada para a obra de Jane Austen e agrada em cheio também aos já fãs da autoraHistória / Literatura Estrangeira / Romance ,7,93
O Homem de São Petersburgo,Ken Follett,2016,336,Arqueiro,4.0,829,71,11,1,51,2,1,Ficção / História / Literatura Estrangeira / Romance / Suspense e Mistério ,30,70
Falando com estranhos,Malcolm Gladwell,2019,320,Sextante,4.2,58,10,2,0,14,557,68,Literatura Estrangeira / Não-ficção ,35,65
Clarice na Cabeceira,Clarice Lispector,2009,254,Rocco,4.3,999,32,42,5,171,1,1,Ficção ,17,83
Harry Potter e a Câmara Secreta,J.K. Rowling ,2020,288,Rocco,4.5,142,2,954,762,4,40,400,Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Romance / Suspense e Mistério ,27,73
O Mar De Monstros,Rick Riordan,2010,304,Intrínseca,4.3,87,1,863,285,2,32,233,Fantasia / Literatura Estrangeira / Aventura / Infantojuvenil ,28,72
Quando Ela Se Foi,Harlan Coben,2011,256,Arqueiro,4.1,5,237,141,13,268,5,10,Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,14,86
Aqui Estou,Jonathan Safran Foer,2017,592,Rocco,4.2,52,6,1,0,9,229,62,Ficção / Literatura Estrangeira / Romance ,28,72
Amor à Segunda Vista,Mhairi McFarlane,2015,368,HarperCollins,3.7,642,43,31,0,45,1,879,Ficção / Literatura Estrangeira / Romance ,2,98
O Hobbit,J. R. R. Tolkien ,2019,336,HarperCollins,4.6,4,273,168,42,566,2,7,EDIÇÃO COM POSTERAventura / Fábula / Fantasia / Literatura Estrangeira ,46,54
Malévola: Dona do Mal,Elizabeth Rudnick,2019,256,Universo,4.2,46,5,0,0,8,876,34, Será que elas conseguirão superar os obstáculos ou terão de lidar com uma inevitável cisão em seu relacionamento?Fantasia / Ficção / Infantojuvenil ,11,89
Como administrar seu tempo,Marc Mancini,2007,75,Sextante,3.3,150,7,10,2,31,340,281," Entre outras coisas, você vai aprender a:- Descobrir para onde está indo o seu tempo - Controlar melhor o seu espaço - Definir suas prioridades - Estabelecer objetivos e encontrar tempo para eles - Antecipar possíveis problemas - Socializar-se de maneira adequada - Saber quando dizer não - Cumprir seus prazosAdministração ",49,51
Encontre Deus Na Cabana,Randal Rauser,2017,300,Pórtico,5.8,2,1,1,0,1,15,1,Literatura Estrangeira ,32,68
Confesse,Colleen Hoover,2017,320,Galera,4.3,7,740,74,9,201,5,8,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,3,97
A libélula dos seus oito anos,Martin Page,2010,176,Rocco,3.8,111,8,6,0,6,306,166,Ficção / Literatura Estrangeira / Romance ,23,77
Chama Negra,Alyson Noël,2015,248,Intrínseca,3.4,8,148,632,10,324,7,17,Fantasia / Literatura Estrangeira ,6,94
Tapete Vermelho,M.S. Fayes,2018,270,The,3.8,71,5,1,1,0,119,80, Seria ela capaz de manter um romance onde os holofotes nunca se apagavam?Ficção / Romance ,1,99
Os Ratos,Dyonelio Machado,2004,207,Planeta,3.4,1,47,104,2,58,709,3,Literatura Brasileira ,37,63
O Estado Jardim,Rick Moody,2001,199,Rocco,3.1,33,0,11,0,1,18,55,Romance ,52,48
Mataram a Rainha ,Juliette Benzoni,2011,280,Planeta,4.0,2,1,0,0,0,18,4, Que vai ser de Charlotte? ,0,100
As Cores Da Vida,Kristin Hannah,2016,352,Arqueiro,4.2,874,92,20,0,37,1,1,Drama / Literatura Estrangeira / Romance ,3,97
Espere Por Mim,Carol Dias,2018,201,The,3.9,44,6,0,0,0,81,24,Literatura Brasileira / Romance ,1,99
Além das montanhas,Chris Offutt,2009,126,Rocco,4.1,10,1,0,0,1,15,12,Contos / Ficção / Literatura Estrangeira ,30,70
Will & Will,John Green,2014,348,Galera,3.9,1,80,160,5,183,2,3,"Humor, Comédia / Romance ",20,80
William Wenton e o ladrão de lurídio,Bobbie Peers,2017,224,HarperCollins,3.5,54,4,1,1,6,98,60,Aventura / Ficção / Infantojuvenil ,41,59
Era Uma Vez No Outono,Lisa Kleypas,2016,288,Arqueiro,4.4,4,259,18,12,54,2,6, Mas será que um conde vai desafiar as convenções sociais a ponto de propor casamento a uma moça tão inapropriada?Ficção / Literatura Estrangeira / Romance ,1,99
Farmácia Literária,Susan Elderkin,2016,376,Verus,4.1,171,13,4,0,57,1,229,Autoajuda / Literatura Estrangeira ,9,91
Gentil como a gente,Fernanda Gentil,2016,288,Intrínseca,4.0,239,17,2,0,9,320,360,"Humor, Comédia / Literatura Brasileira ",7,93
"Marília de Dirceu: A musa, a Inconfidência e a vida privada em Ouro Preto no século XVIII",Staël Gontijo,2012,264,Gutenberg,4.5,12,1,0,0,1,26,22,com/pluricom  ,22,78
A vida sem Crachá , Claudia Giudice ,2015,192,Agir,4.1,58,1,1,1,9,141,87,Autoajuda / Negócios e Empreendedorismo ,32,68
A Febre,Megan Abbott ,2015,272,Intrínseca,2.9,977,69,88,2,62,1,1,Suspense e Mistério / Literatura Estrangeira / Romance ,11,89
Além da Magia,Tahereh Mafi,2017,368,Universo,4.1,579,74,58,0,74,2,643,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Jovem adulto ,7,93
Indesejadas,Kristina Ohlsson,2019,336,Gutenberg,4.0,396,55,9,0,15,788,529, Quanto tempo eles realmente terão até que o criminoso dê seu próximo passo?Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ,9,91
Ai Meus Deuses!,Tera Lynn Childs,2014,304,Galera,3.7,489,29,8,3,15,799,709,Ficção / Literatura Estrangeira ,3,97
Contos Legais,John Grisham,2003,338,Rocco,4.0,13,0,2,0,1,16,17,Contos / Direito / Entretenimento / Ficção / Literatura Estrangeira / Suspense e Mistério ,37,63
Trevayne,Robert Ludlum,1980,502,Rocco,3.8,10,1,0,1,0,15,23,Romance policial ,55,45
Essa ideia é tão boa que parece que foi sua,Ivan Misner,2014,256,Universo,3.7,7,0,2,1,4,68,11,Autoajuda / Literatura Estrangeira ,49,51
Pátria,Fernando Aramburu,2019,512,Intrínseca,4.4,500,103,35,0,88,1,552,Ficção / Literatura Estrangeira / Romance ,18,82
Dama da Meia-Noite,Cassandra Clare,2016,574,Galera,4.6,6,328,122,33,566,10,10,Literatura Estrangeira / Fantasia ,10,90
A senhora de Avalon: Terceiro livro do ciclo de Avalon,Marion Zimmer Bradley,2019,392,Editora,4.5,8,1,0,0,2,43,10," Essas três poderosas mulheres moldarão o destino dos romanos britânicos, enquanto lutam para proteger a magia da ilha de vales dourados e brumas de prataFantasia / Ficção ",16,84
Eu Sou o Número Quatro,Pittacus Lore,2011,352,Intrínseca,4.1,15,503,473,35,590,10,26,Jovem adulto / Literatura Estrangeira ,30,70
A agenda antiplanos,Keri Smith,2016,96,Intrínseca,4.0,26,0,1,0,9,240,44," E o principal: a se divertir!Humor, Comédia / Literatura Estrangeira ",7,94
Arte de Viver,Epicteto,2018,144,Sextante,4.3,72,11,1,0,10,59,80,Não-ficção ,49,51
Queda de Gigantes,Ken Follett,2010,912,Sextante,4.8,525,19,18,0,82,583,1,Ficção / História ,32,68
O Sombra,Lily Freitas,2020,718,Independente,4.4,82,18,2,0,4,25,92,Erótico / Ficção / Literatura Brasileira / Romance / Romance policial ,2,98
Gostar de Ostras,Bernardo Ajzenberg,2017,192,Rocco,3.5,31,1,1,0,1,128,38," Com sua prosa ao mesmo tempo firme e sensível, Ajzenberg envolve o leitor com a história dessa amizade improvável, que levará os Durcan a revisitar seu passado difícil, incluindo os motivos que fizeram com que deixassem seu país, e que mostrará a Jorge que a vida pode ser mais desafiante e colorida do que ele se acostumou a imaginarFicção / Literatura Brasileira / Romance ",19,81
O paradoxo do Chimpanzé,Prof. Steve Peters,2016,268,Intrínseca,4.3,29,2,1,0,26,412,37,Autoajuda / Literatura Estrangeira ,59,41
Seduzida,Maya Banks,2019,256,Gutenberg,3.6,57,6,0,0,1,78,71," Mas Silas estará disposto a arriscar tudo, inclusive a vida da mulher que ama, para viver uma história impossível?Erótico / Ficção / Literatura Estrangeira / Romance ",2,98
Como Narrar Uma História,Silvia Adela Kohan,2011,81,Gutenberg,3.9,83,4,2,0,10,331,119,Comunicação / Didáticos / Técnico / Educação ,41,59
"Prata, Terra & Lua Cheia",Felipe Castilho,2013,272,Gutenberg,4.4,168,15,1,0,18,405,222,Ficção / Jovem adulto ,49,51
Problemas na Vila Zumbi,Mark Cheverton,2016,304,Galera,4.3,15,2,0,0,3,13,14,Ficção / Infantojuvenil ,60,40
Dipper e Mabel em A maldição do tesouro dos Piratas do Tempo!,Jeffrey Rowe,2019,304,Universo,4.1,13,0,0,0,7,87,17,Infantojuvenil / Literatura Estrangeira ,24,76
A Garota Que Eu Quero,Markus Zusak,2013,174,Intrínseca,3.7,7,306,455,12,371,9,12, Literatura Estrangeira ,14,86
O Verão Que Mudou Minha Vida,Jenny Han,2011,288,Galera,3.9,7,616,80,6,167,10,10,Literatura Estrangeira / Romance ,4,96
Os Arquivos de Sherlock Holmes,Sir Arthur Conan Doyle,2010,281,Martin,4.3,223,9,1,0,14,277,372,Literatura Estrangeira / Romance policial / Suspense e Mistério ,31,69
Sombra da Noite,Deborah Harkness,2013,576,Rocco,4.4,758,43,18,2,90,1,1,Fantasia / Ficção / Romance ,12,88
Quando Finalmente Voltará a Ser Como Nunca Foi,Joachim Meyerhoff,2016,352,Valentina,3.8,203,40,18,0,25,895,247,Literatura Estrangeira ,16,84
Os 12 Signos de Valentina,Ray Tavares,2017,392,Galera,4.4,2,294,60,3,105,2,3," Já que precisa encontrar o libriano perfeito, por que não aproveita e experimenta os outros signos do zodíaco para ter certeza mesmo?Ficção / Infantojuvenil / Literatura Brasileira / Romance ",3,97
O Diário Secreto de Ana Bolena (The secret diary of Anne Boleyn),Robin Maxwell,1999,384,Planeta,4.0,41,0,1,0,9,166,69,»The TimesRomance ,7,93
No país do presente,Flávio Carneiro,2005,338,Rocco,4.0,2,0,0,0,0,8,5,Não-ficção ,27,73
Boa Noite,Pam Gonçalves,2016,240,Galera,4.1,4,390,39,2,90,4,5,Jovem adulto / Literatura Brasileira ,10,90
Tapete Vermelho,M.S. Fayes,2018,289,The,0.0,0,0,0,0,0,2,0, Seria ela capaz de manter um romance onde os holofotes nunca se apagavam?Romance ,0,0
O Diário de Dora Damage,Belinda Starling,2011,416,Rocco,3.8,13,1,1,0,4,60,19,Aventura / Crime / Drama / História / Literatura Estrangeira / Romance policial / Suspense e Mistério ,10,90
Jogo de Espelhos,Cara Delevingne,2017,304,Intrínseca,4.0,717,87,30,0,65,2,875,Ficção / Jovem adulto / Literatura Estrangeira / Romance ,13,87
Porto Inseguro,Tana French,2014,496,Rocco,3.3,41,1,3,0,4,215,67,Ficção / Literatura Estrangeira ,15,85
A Guerra dos Mundos,H. G. Wells,2019,294,Martin,3.9,2,202,188,4,204,4,3," A obra de Wells é fascinante, enriquecendo ainda mais o imaginário extraterrestre e ressoando a pergunta que faz parte da história da humanidade: estamos sozinhos no Universo?Distopia / Ficção científica / Literatura Estrangeira / Suspense e Mistério ",49,51
Sherlock Holmes: Volume 4: Os últimos casos de Sherlock Holmes | Histórias de Sherlock Holmes,Arthur Conan Doyle,2015,465,HarperCollins,5.3,8,1,0,0,4,25,10,ESTE VOLUME CONTÉM OS LIVROS: VOLUME 4:Os últimos casos de Sherlock Holmes (contos) - 1917Histórias de Sherlock Holmes (contos) - 1927CONHEÇA OS DEMAIS LIVROS DESTA COLEÇÃO!VOLUME 1:Um estudo em vermelho (romance) - 1887O sinal dos quatro (romance) - 1890As aventuras de Sherlock Holmes (contos) - 1892VOLUME 2:Memórias de Sherlock Holmes (contos) - 1894O cão dos Baskerville (romance) - 1902VOLUME 3:A volta de Sherlock Holmes (contos) - 1905O vale do medo (romance) - 1915Romance policial / Suspense e Mistério ,13,88
As Aventuras de Poliana. Descobrindo o Lado Bom da Vida,Vários,2018,128,Universo,5.0,1,0,1,0,1,26,2, Bora descobrir o lado bom da vida e embarcar nessa aventura com a gente?Aventura / Ficção / Infantil ,33,67
Digger the Dinosaur,Rebecca Dotlich,2012,24,HarperCollins,4.0,1,0,0,0,0,0,1, His big tail and big feet arent helping! Will Digger win the race to tidy his room and get to the game on time?Infantil / Infantojuvenil / Literatura Estrangeira ,0,0
"Inocência, conhecimento e encantamento",Osho,2016,259,Editora,4.2,59,0,3,0,14,122,106,Autoajuda / Bem estar e lazer ,31,69
Um Beijo à Meia-Noite,Eloisa James,2017,320,Arqueiro,4.0,1,190,28,1,42,2,2,Ficção / Literatura Estrangeira / Romance ,2,98
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,2000,394,Rocco,4.7,132,2,737,609,3,58,376,Fantasia / Literatura Estrangeira / Ficção / Aventura / Infantojuvenil / Romance / Suspense e Mistério ,27,73
O Rei Perverso,Holly Black,2020,308,Galera,4.5,4,644,37,8,351,3,4,Edição com conjunto de marcadoresFantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4,96
Aceitação,Jeff VanderMeer,2016,368,Intrínseca,3.3,500,38,21,1,40,1,702,Literatura Estrangeira / Romance / Ficção ,39,61
O Homem Invisível,H. G. Wells,2020,256,Martin,3.7,2,169,83,6,178,4,3,Aventura / Drama / Fantasia / Ficção científica / Horror / Romance / Suspense e Mistério ,41,59
Em Meia Hora... A Morte,Francisco Martín Moreno,2014,480,Planeta,4.5,2,0,0,0,0,22,1,Ficção / Literatura Estrangeira ,28,72
O país das mulheres,Gioconda Belli,2011,224,Verus,3.9,167,17,2,1,19,300,207,Ficção / Literatura Estrangeira / Romance ,9,91
Um raio de sol,Cícero de Sá Ramalho,1985,157,Editora,3.9,26,2,1,0,2,11,46,Infantojuvenil ,34,66
The 100: Os Escolhidos,Kass Morgan,2014,288,Galera,3.7,3,198,155,6,264,4,4,Ficção / Literatura Estrangeira ,21,79
Os Confins do Mundo,Valerio Massimo Manfredi,2000,412,Rocco,4.2,441,20,18,0,8,543,698,Ficção / Literatura Estrangeira / Romance ,55,45
"Ada Batista, Cientista",Andrea Beaty,2019,32,Intrínseca,4.4,15,2,0,0,0,45,11,"Outros títulos da coleçãoPaulo Roberto, arquiteto; Rita Bandeira, engenheira; Sofia Pimenta, futura presidentaInfantil / Literatura Estrangeira ",10,90
Meu primeiro caderno de atividades,Brittany Lynch,2020,112,Editora,5.0,1,0,0,0,0,71,3, CORES  LETRAS  NÚMEROS  FORMAS  PADRÕES  E MUITO MAIS!Educação / Infantil / Literatura Estrangeira / Não-ficção ,30,70
Frankenstein,Mary Shelley,2019,320,Editora,4.2,14,1,405,48,1,17,24,"Ficção científica / Horror / Literatura Estrangeira / Suspense e Mistério / Terror / Aventura / Fantasia / Ficção / HQ, comics, mangá / Romance ",30,70
"Ela Disse, Ele Disse",Thalita Rebouças,2010,192,Rocco,3.8,4,100,63,19,133,1,7,Ficção / Literatura Brasileira ,5,95
O diamante de Jerusalém,Noah Gordon,1995,300,Rocco,3.5,189,7,18,0,6,185,389," Por trás da velocidade da espionagem, esta um outro diamante: a riqueza dessa cultura desde os tempos bíblicos até as reivindicações do Estado de IsraelLiteratura Estrangeira / Ficção / História ",32,68
Cartas que escrevi antes de você,Cynthia Hand,2020,368,HarperCollins,4.4,71,14,0,0,10,448,56,Ficção / Jovem adulto / Literatura Estrangeira ,6,94
Princesa Mecânica,Cassandra Clare,2020,433,Galera,4.7,14,678,107,38,503,21,22,Aventura / Fantasia / Ficção / Infantojuvenil ,11,89
O Documento Holcroft,Robert Ludlum,1978,504,Rocco,3.8,85,0,5,0,2,70,173," Ao assinar o papel, Noel não só estaria assinando sua sentença de morte, como contribuindo com um plano que envolve governos do mundo inteiro e é capaz de comprometer o futuro da humanidade ",62,38
Onde o Amor Se Esconde,Veridiana Maenaka,2015,350,Verus,4.1,238,39,4,0,4,787,280,Literatura Brasileira / Romance ,2,98
Rony Weasly: Guia Cinematográfico,Felicity Baker,2017,64,Rocco,3.9,620,15,0,1,1,351,880,Fantasia / Ficção / Literatura Estrangeira ,17,83
O Estranho Caso de Mademoiselle P.,Brian O'Doherty,1993,199,Rocco,4.0,4,0,0,0,0,14,5,""" ",30,70
Dias Sombrios,Derek Landy,2012,362,Galera,4.6,190,2,1,1,9,527,305," É claro que há uma nova ameaça à nossa heroína Valquíria, além do fato de que o mal irrevogável está para chegar e destruir o nosso mundo! (De verdade!) Será que Ardiloso Cortês conseguirá escapar da dimensão dos Sem-Rosto? O problema maior será quando voltar, caso consiga fugir! ",35,65
O Tronco do Ipê,José de Alencar,2013,262,Martin,3.5,1,28,99,4,135,681,3,Ficção / Literatura Brasileira / Romance ,23,77
Tasty. As Melhores Receitas,Buzzfeed,2018,192,HarperCollins,4.3,4,1,0,1,1,71,2,Culinária e Gastronomia / Não-ficção ,17,83
Cidade das Almas Perdidas,Cassandra Clare,2018,448,Galera,4.4,20,396,264,65,934,23,37,Aventura / Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,12,88
Uma Paixão Indomável,Nora Roberts,2017,160,HarperCollins,3.8,168,18,2,1,6,221,215,  Affaire de CoeurFicção / Literatura Estrangeira / Romance ,2,98
Não existem heróis,Chris Offutt,2004,192,Rocco,3.5,10,0,0,0,1,11,17,"Biografia, Autobiografia, Memórias ",54,46
O Mercador de Veneza,William Shakespeare,2009,136,Martin,4.0,3,108,85,4,130,2,6,"Drama / Humor, Comédia / Literatura Estrangeira / Romance ",28,72
O Vizinho,R. L. Stine,2003,132,Rocco,3.8,175,0,0,1,1,121,369,Literatura Estrangeira ,15,85
A Breve Segunda Vida de Bree Tanner,Stephenie Meyer,2010,192,Intrínseca,3.7,21,650,649,30,286,6,51,Literatura Estrangeira ,12,88
O essencial do Candomblé,Ademir Barbosa Júnior,2011,144,Universo,3.6,5,0,1,0,4,25,8,""" ",56,44
Amor sob encomenda,Carina Rissi,2019,546,Verus,4.4,3,428,31,5,208,4,3,Romance ,1,99
A Tumba das Sombras,Peter Lerangis,2017,294,Verus,4.1,20,1,0,0,2,171,26,Fantasia / Ficção / Literatura Estrangeira ,39,61
Os Segredos que Guardamos,Lara Prescott,2019,365,Intrínseca,4.1,569,113,7,0,64,2,589,História Geral / Literatura Estrangeira / Não-ficção ,9,91
Oblivion Song: Entre Dois Mundos,Robert Kirkman,2020,136,Intrínseca,4.1,166,16,0,0,6,376,184,"Ficção / HQ, comics, mangá / Literatura Estrangeira ",44,56
Como Parar o Tempo,Matt Haig,2017,320,HarperCollins,3.9,570,72,19,0,39,2,697,Fantasia / Ficção científica / Literatura Estrangeira / Romance ,9,91
Paixão Mortal,R. L. Stine,2004,160,Rocco,3.6,191,2,3,1,1,134,369,Literatura Estrangeira ,16,84
Água viva,Clarice Lispector,2020,96,Rocco,4.3,3,155,215,34,273,3,6,Ficção / Literatura Brasileira / Romance ,26,74
Canja de galinha para a alma,Mark Victor Hansen,2020,368,HarperCollins,4.1,38,0,3,0,11,207,82,Autoajuda / Literatura Estrangeira ,18,82
A Prisioneira,L. J. Smith,2012,240,Galera,3.9,1,39,33,2,58,2,2,Jovem adulto / Ficção / Romance / Literatura Estrangeira ,18,82
Insônia,Stephen King,2004,408,Planeta,3.9,2,75,222,4,186,3,4,Ficção ,42,58
Interligados,Kristin Cast,2010,448,Universo,4.1,1,79,74,3,58,2,2,Aventura / Fantasia / Ficção ,21,79
O Amor nos Tempos de #Likes,Pam Gonçalves,2016,272,Galera,4.0,1,110,20,0,57,3,1,Chick-lit / Ficção / Infantojuvenil / Jovem adulto / Romance ,16,84
Startalk,Neil deGrasse Tyson,2018,304,HarperCollins,3.6,23,1,1,0,9,515,28,Educação / Fotografia / Literatura Estrangeira / Não-ficção ,34,66
Filho de Spartacus,Simon Scarrow,2016,336,Rocco,4.4,6,1,0,0,2,76,1, Será ele capaz de mudar o rumo dos acontecimentos e ainda salvar sua mãe?Jovem adulto ,41,59
Autossabotagem,Bernardo Stamateas,2009,192,Academia,3.8,40,1,6,2,10,72,62,Psicologia ,34,66
Pantera Negra: O Jovem Príncipe,Ronald L. Smith,2020,208,Excelsior,4.0,31,4,0,0,10,737,34,"""―School Library JournalFicção / HQ, comics, mangá / Literatura Estrangeira ",29,71
"Feias, quase cabeludas",Haroldo Maranhão,2005,192,Planeta,3.3,19,0,1,0,2,11,27,Contos / Ficção ,37,63
Mamãe Bruxa  a história da vilã da Rapunzel,Serena Valentino,2019,336,Universo,4.1,178,18,9,1,21,2,214,Ficção / Infantojuvenil / Literatura Estrangeira ,8,92
 A Viajante do Tempo,Diana Gabaldon,2016,800,Arqueiro,4.6,7,678,494,36,1,17,11, Será ela capaz de resistir a uma paixão arrebatadora e regressar ao presente?Fantasia / Romance / Ficção científica / Literatura Estrangeira ,8,92
A Hora Mais Sombria,Meg Cabot,2005,272,Galera,4.4,14,151,50,25,92,4,29,E sera que Jack fara as escolhas certas? O amor entre Suzannah e Jesse ira aguentar a todas as coisa que acontecerão?Infantojuvenil / Literatura Estrangeira / Romance / Ficção ,4,96
Indecente,Christina Lauren,2015,368,Universo,4.1,1,19,8,2,20,1,2,Ficção / Literatura Estrangeira / Romance ,1,99
365 Dias Que Mudaram O Mundo,History,2014,816,Planeta,3.9,52,6,5,1,35,215,66,História / História Geral / Literatura Estrangeira ,40,60
Olhos Prateados,Scott Cawthon,2017,368,Intrínseca,3.8,335,30,11,2,62,1,439,Infantojuvenil / Jovem adulto / Literatura Estrangeira ,29,71
O Livro do Cemitério,Neil Gaiman,2010,336,Rocco,4.3,3,214,63,5,198,6,4,"Fantasia / Ficção / Horror / HQ, comics, mangá / Jovem adulto / Literatura Estrangeira / Romance ",29,71
